+--------------+--------------------+-------+--------+-------+-------------+--------+----------+----------+-------------------------------+----------------------------------------------------------+
| eq           | pairname           | stnm  | hitlo  | hitla | shift_gcarc | Peak_S | Peak_ScS | SNR2_ScS | dirPrefix                     | File                                                     |
+--------------+--------------------+-------+--------+-------+-------------+--------+----------+----------+-------------------------------+----------------------------------------------------------+
| 200608250044 | 200608250044_109C  | 109C  | -90.81 |  4.45 |     73.0814 |  10.05 |     7.75 |     4.66 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.109C.BHT.sac  |
| 200608250044 | 200608250044_115A  | 115A  | -88.53 |  4.27 |     70.0668 |   9.65 |    8.775 |    12.32 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.115A.BHT.sac  |
| 200608250044 | 200608250044_116A  | 116A  |  -88.3 |  4.18 |     69.6699 |    9.4 |    8.175 |     9.38 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.116A.BHT.sac  |
| 200608250044 | 200608250044_A03T  | A03T  | -90.27 |  5.39 |     73.9028 | 11.275 |     6.95 |     3.06 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.A03T.BHT.sac  |
| 200608250044 | 200608250044_A04T  | A04T  | -90.26 |  5.39 |     73.9023 | 11.325 |    6.925 |     4.07 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.A04T.BHT.sac  |
| 200608250044 | 200608250044_A09T  | A09T  | -90.26 |  5.39 |     73.9013 |  10.95 |        7 |     2.32 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.A09T.BHT.sac  |
| 200608250044 | 200608250044_A15T  | A15T  | -90.26 |  5.39 |     73.9008 | 11.075 |    6.975 |     2.14 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.A15T.BHT.sac  |
| 200608250044 | 200608250044_A21T  | A21T  | -90.26 |  5.39 |     73.9003 | 10.925 |    6.825 |     1.13 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.A21T.BHT.sac  |
| 200608250044 | 200608250044_A24T  | A24T  | -90.25 |  5.39 |     73.8973 | 11.175 |    7.075 |     2.76 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.A24T.BHT.sac  |
| 200608250044 | 200608250044_ARV   | ARV   | -91.27 |  5.73 |     75.6321 |    8.6 |    6.175 |     4.87 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.ARV.BHT.sac   |
| 200608250044 | 200608250044_BAR   | BAR   | -90.64 |  4.33 |     72.6721 |  9.125 |      7.2 |     3.89 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.BAR.BHT.sac   |
| 200608250044 | 200608250044_BBR   | BBR   | -90.51 |   5.2 |     73.9131 |   10.8 |      8.3 |     3.94 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.BBR.BHT.sac   |
| 200608250044 | 200608250044_BEL   | BEL   | -90.12 |  5.04 |     73.1842 | 11.675 |      8.8 |     5.34 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.BEL.BHT.sac   |
| 200608250044 | 200608250044_BFS   | BFS   | -90.86 |  5.21 |     74.3318 | 10.325 |      7.8 |      6.7 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.BFS.BHT.sac   |
| 200608250044 | 200608250044_BZN   | BZN   | -90.51 |  4.78 |     73.2303 | 11.125 |   10.175 |     3.46 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.BZN.BHT.sac   |
| 200608250044 | 200608250044_C03T  | C03T  | -90.26 |  5.38 |     73.8861 | 11.325 |    7.075 |     3.25 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.C03T.BHT.sac  |
| 200608250044 | 200608250044_C04T  | C04T  | -90.26 |  5.38 |     73.8855 |  11.15 |    7.025 |     1.86 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.C04T.BHT.sac  |
| 200608250044 | 200608250044_C06T  | C06T  | -90.26 |  5.38 |      73.885 | 11.525 |     6.85 |     3.65 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.C06T.BHT.sac  |
| 200608250044 | 200608250044_C09T  | C09T  | -90.26 |  5.38 |     73.8846 | 11.325 |      7.2 |     1.86 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.C09T.BHT.sac  |
| 200608250044 | 200608250044_C23T  | C23T  | -90.25 |  5.39 |     73.8872 | 11.325 |    7.325 |     3.83 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.C23T.BHT.sac  |
| 200608250044 | 200608250044_CCUT  | CCUT  | -88.35 |  6.91 |     74.2157 | 11.925 |        9 |     5.97 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.CCUT.HHT.sac  |
| 200608250044 | 200608250044_CHF   | CHF   | -91.02 |  5.27 |     74.6182 |   10.1 |    6.925 |     4.42 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.CHF.BHT.sac   |
| 200608250044 | 200608250044_CIA   | CIA   | -91.35 |  4.77 |     74.2239 |  10.25 |     8.25 |     3.23 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.CIA.BHT.sac   |
| 200608250044 | 200608250044_CRY   | CRY   | -90.54 |  4.82 |     73.3237 | 11.125 |    10.25 |     4.23 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.CRY.BHT.sac   |
| 200608250044 | 200608250044_CWC   | CWC   | -90.69 |  6.43 |       76.08 | 11.575 |    8.575 |     5.02 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.CWC.BHT.sac   |
| 200608250044 | 200608250044_D03T  | D03T  | -90.26 |  5.37 |     73.8775 |   11.4 |    6.975 |     4.53 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D03T.BHT.sac  |
| 200608250044 | 200608250044_D04T  | D04T  | -90.25 |  5.37 |     73.8769 | 11.525 |     7.05 |     3.71 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D04T.BHT.sac  |
| 200608250044 | 200608250044_D06T  | D06T  | -90.25 |  5.37 |     73.8764 | 11.475 |    7.075 |     3.85 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D06T.BHT.sac  |
| 200608250044 | 200608250044_D09T  | D09T  | -90.25 |  5.37 |      73.876 | 11.175 |    6.975 |     3.81 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D09T.BHT.sac  |
| 200608250044 | 200608250044_D15T  | D15T  | -90.25 |  5.37 |     73.8797 | 11.275 |     6.95 |      3.4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D15T.BHT.sac  |
| 200608250044 | 200608250044_DAN   | DAN   | -89.73 |  5.37 |     73.2684 | 10.925 |     7.45 |     3.86 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DAN.BHT.sac   |
| 200608250044 | 200608250044_DEC   | DEC   | -91.18 |  5.23 |     74.7505 |    8.6 |      5.9 |     3.06 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DEC.BHT.sac   |
| 200608250044 | 200608250044_DGR   | DGR   | -90.65 |  4.88 |     73.5462 |  10.35 |    8.925 |     5.29 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DGR.BHT.sac   |
| 200608250044 | 200608250044_DJJ   | DJJ   | -91.26 |  5.16 |     74.7245 |    9.1 |    8.475 |      5.1 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DJJ.BHT.sac   |
| 200608250044 | 200608250044_DUG   | DUG   | -87.65 |  8.31 |     75.8623 |  11.15 |    5.975 |     4.87 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.DUG.BHT.sac   |
| 200608250044 | 200608250044_DVT   | DVT   | -90.37 |  4.31 |     72.3117 |  10.35 |     8.15 |     1.34 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DVT.BHT.sac   |
| 200608250044 | 200608250044_EYMN  | EYMN  | -77.29 | 11.75 |       74.05 |    0.5 |     3.45 |    16.04 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.EYMN.BHT.sac  |
| 200608250044 | 200608250044_FMP   | FMP   | -91.25 |  4.94 |     74.3596 |  9.075 |      6.7 |     2.88 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.FMP.BHT.sac   |
| 200608250044 | 200608250044_FRD   | FRD   | -90.48 |  4.78 |     73.1935 |     11 |   10.525 |     4.63 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.FRD.BHT.sac   |
| 200608250044 | 200608250044_FUR   | FUR   | -90.13 |  6.41 |     75.3994 |  9.175 |     7.05 |     8.21 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.FUR.BHT.sac   |
| 200608250044 | 200608250044_GLA   | GLA   | -89.71 |   4.5 |      71.823 |  11.25 |    9.225 |    10.73 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GLA.BHT.sac   |
| 200608250044 | 200608250044_GMR   | GMR   | -89.84 |  5.46 |     73.5346 |  11.65 |    7.775 |     7.56 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GMR.BHT.sac   |
| 200608250044 | 200608250044_GRA   | GRA   | -90.27 |  6.72 |     76.0487 |   9.65 |        7 |     9.35 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GRA.BHT.sac   |
| 200608250044 | 200608250044_GSC   | GSC   |  -90.3 |  5.77 |      74.557 |  9.775 |     7.35 |     4.15 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GSC.BHT.sac   |
| 200608250044 | 200608250044_HEC   | HEC   | -90.15 |  5.51 |      73.954 | 11.225 |     7.15 |     5.14 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.HEC.BHT.sac   |
| 200608250044 | 200608250044_HVU   | HVU   | -87.35 |  9.17 |     77.0209 |  8.275 |      5.9 |      7.5 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.HVU.HHT.sac   |
| 200608250044 | 200608250044_HWUT  | HWUT  | -86.85 |  9.03 |     76.2918 |    9.3 |     6.05 |     9.47 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.HWUT.BHT.sac  |
| 200608250044 | 200608250044_ISA   | ISA   | -91.01 |  6.01 |     75.7821 |   8.65 |      7.1 |      9.6 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.ISA.BHT.sac   |
| 200608250044 | 200608250044_ISCO  | ISCO  | -84.49 |   7.9 |     72.0767 |   9.35 |     7.75 |     8.01 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.ISCO.BHT.sac  |
| 200608250044 | 200608250044_JCS   | JCS   | -90.54 |  4.56 |     72.9072 |   10.5 |     9.05 |     5.01 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.JCS.BHT.sac   |
| 200608250044 | 200608250044_KNW   | KNW   |  -90.5 |   4.9 |     73.4112 | 11.275 |     9.85 |     4.17 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.KNW.BHT.sac   |
| 200608250044 | 200608250044_LGU   | LGU   | -91.54 |  5.17 |     75.0994 |  7.725 |    7.375 |        4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.LGU.BHT.sac   |
| 200608250044 | 200608250044_LRL   | LRL   | -90.67 |  5.89 |     75.1965 |  9.275 |     7.45 |     5.08 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.LRL.BHT.sac   |
| 200608250044 | 200608250044_LVA2  | LVA2  | -90.48 |   4.7 |       73.07 | 10.775 |   10.825 |     5.04 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.LVA2.BHT.sac  |
| 200608250044 | 200608250044_MONP  | MONP  | -90.49 |  4.45 |     72.6665 | 11.125 |    9.725 |     3.49 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.MONP.BHT.sac  |
| 200608250044 | 200608250044_MPM   | MPM   | -90.49 |   6.2 |      75.471 |  9.775 |    7.325 |     9.28 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MPM.BHT.sac   |
| 200608250044 | 200608250044_MPP   | MPP   | -91.76 |  5.62 |     76.0695 |  8.225 |      5.9 |     3.18 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MPP.BHT.sac   |
| 200608250044 | 200608250044_MPU   | MPU   | -87.16 |  8.18 |     75.1369 |  9.975 |    7.075 |     8.13 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.MPU.HHT.sac   |
| 200608250044 | 200608250044_MUR   | MUR   | -90.74 |  4.85 |     73.6242 |   9.55 |      9.4 |     6.93 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MUR.BHT.sac   |
| 200608250044 | 200608250044_MWC   | MWC   | -91.05 |  5.21 |     74.5631 |  8.975 |    8.025 |      2.9 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MWC.BHT.sac   |
| 200608250044 | 200608250044_N13A  | N13A  | -88.15 |  8.72 |     77.0659 | 11.525 |    7.225 |    10.57 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.N13A.BHT.sac  |
| 200608250044 | 200608250044_NE80  | NE80  | -88.85 |  3.08 |     68.5314 |   9.95 |    7.975 |     4.36 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.NR.NE80.BHT.sac  |
| 200608250044 | 200608250044_NLU   | NLU   | -87.36 |  8.16 |     75.3162 |   11.1 |     6.75 |     9.28 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.NLU.HHT.sac   |
| 200608250044 | 200608250044_OSI   | OSI   |  -91.3 |  5.44 |     75.2314 |  7.925 |     7.75 |        4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.OSI.BHT.sac   |
| 200608250044 | 200608250044_P11A  | P11A  | -89.08 |  8.06 |     76.9461 |    8.8 |     5.95 |     2.46 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.P11A.BHT.sac  |
| 200608250044 | 200608250044_P12A  | P12A  | -88.72 |  7.99 |     76.4332 |  11.05 |    7.075 |     8.62 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.P12A.BHT.sac  |
