+------+---------+------------+-----------+--------------+
| bin  | nRecord | lon        | lat       | averagedDist |
+------+---------+------------+-----------+--------------+
|    1 |     110 |    -96.101 | 21.431909 |    58.368949 |
|    2 |     370 | -94.213243 | 21.488649 |    56.453685 |
|    3 |     414 |  -91.63814 | 21.502802 |    55.771819 |
|    4 |     304 | -86.880691 | 21.686678 |    52.399815 |
|    5 |     201 |  -84.04597 | 21.921144 |    49.889935 |
|    6 |     153 |  -96.17098 | 19.108301 |    54.944408 |
|    7 |     648 | -94.259537 | 19.130525 |    54.215682 |
|    8 |     766 | -91.252585 | 18.513381 |    58.112613 |
|    9 |     507 | -87.728698 | 18.607811 |    58.913324 |
|   10 |     381 | -82.674724 | 18.816955 |    52.768153 |
|   11 |     342 | -79.466345 | 17.682778 |     54.02856 |
|   12 |     344 | -74.816686 | 17.187762 |    53.550908 |
|   13 |     188 | -72.870426 |  17.30516 |    53.401622 |
|   14 |     549 | -93.180747 | 15.780073 |     57.23943 |
|   15 |    1030 | -90.675272 | 14.755981 |    60.134414 |
|   16 |     896 | -87.579342 |  14.34317 |    59.721282 |
|   17 |     887 |  -82.76752 | 14.226595 |    56.580933 |
|   18 |    1084 | -78.832149 |   14.1531 |    56.089083 |
|   19 |    1072 | -75.411791 | 14.299795 |     57.90273 |
|   20 |     533 | -72.308218 | 14.169231 |    57.460239 |
|   21 |     171 | -92.051053 | 12.207485 |    61.521065 |
|   22 |     842 | -90.035677 |     11.87 |    61.748682 |
|   23 |    1304 | -86.586472 | 10.377615 |     62.81749 |
|   24 |    1673 | -82.790855 | 10.318649 |    59.728037 |
|   25 |    1979 | -78.823643 | 10.710232 |    59.018429 |
|   26 |    1826 | -75.291128 | 10.702196 |    60.531916 |
|   27 |    1081 | -71.686374 | 10.521693 |    62.630155 |
|   28 |     384 | -69.295443 | 10.578594 |    64.367891 |
|   29 |     846 | -89.316099 |  6.873274 |    71.815471 |
|   30 |    1618 | -86.932923 |  7.261663 |    67.832807 |
|   31 |    1805 | -83.082571 |  7.516898 |    61.869282 |
|   32 |    1897 | -78.930395 |  7.522725 |    60.387339 |
|   33 |    1850 | -75.305173 |  7.312162 |    61.200046 |
|   34 |    1133 | -71.839806 |  7.582524 |    63.217172 |
|   35 |     296 | -69.135439 |  7.665405 |    66.350947 |
|   36 |     413 | -89.820654 |  5.413099 |    72.714599 |
|   37 |     565 | -87.006903 |  4.962814 |    69.286465 |
|   38 |     804 | -82.566729 |  4.287649 |    64.494642 |
|   39 |     907 | -79.000221 |  3.721389 |    65.710576 |
|   40 |    1113 | -75.016622 |  4.081024 |    63.457962 |
|   41 |     643 | -72.359269 |  3.786314 |    63.544179 |
|   42 |     111 | -69.278108 |  4.672072 |    67.197541 |
|   43 |     212 | -81.936415 |   0.99283 |     68.07598 |
|   44 |     234 | -79.059786 |  1.188248 |    67.110265 |
|   45 |     251 | -74.446693 |  1.145219 |    63.872214 |
|   46 |     171 | -72.260117 |  1.148596 |    62.003758 |
+------+---------+------------+-----------+--------------+
