+----------------------+-----------+------+------+--------------+-------------+
| modelname            | thickness | dvs  | drho | criticalDist | awayFromCMB |
+----------------------+-----------+------+------+--------------+-------------+
| Lamella_201500000001 |         5 |  -30 |   -5 |          100 |           5 |
| Lamella_201500000002 |         5 |  -30 |    0 |          100 |           5 |
| Lamella_201500000003 |         5 |  -30 |    5 |          100 |           5 |
| Lamella_201500000004 |         5 |  -30 |   10 |          100 |           5 |
| Lamella_201500000005 |         5 |  -25 |   -5 |          100 |           5 |
| Lamella_201500000006 |         5 |  -25 |    0 |          100 |           5 |
| Lamella_201500000007 |         5 |  -25 |    5 |          100 |           5 |
| Lamella_201500000008 |         5 |  -25 |   10 |          100 |           5 |
| Lamella_201500000009 |         5 |  -20 |   -5 |          100 |           5 |
| Lamella_201500000010 |         5 |  -20 |    0 |          100 |           5 |
| Lamella_201500000011 |         5 |  -20 |    5 |          100 |           5 |
| Lamella_201500000012 |         5 |  -20 |   10 |          100 |           5 |
| Lamella_201500000013 |         5 |  -15 |   -5 |          100 |           5 |
| Lamella_201500000014 |         5 |  -15 |    0 |          100 |           5 |
| Lamella_201500000015 |         5 |  -15 |    5 |          100 |           5 |
| Lamella_201500000016 |         5 |  -15 |   10 |          100 |           5 |
| Lamella_201500000017 |         5 |  -10 |   -5 |          100 |           5 |
| Lamella_201500000018 |         5 |  -10 |    0 |          100 |           5 |
| Lamella_201500000019 |         5 |  -10 |    5 |          100 |           5 |
| Lamella_201500000020 |         5 |  -10 |   10 |          100 |           5 |
| Lamella_201500000021 |         5 |   -5 |   -5 |          100 |           5 |
| Lamella_201500000022 |         5 |   -5 |    0 |          100 |           5 |
| Lamella_201500000023 |         5 |   -5 |    5 |          100 |           5 |
| Lamella_201500000024 |         5 |   -5 |   10 |          100 |           5 |
| Lamella_201500000025 |         5 |    0 |   -5 |          100 |           5 |
| Lamella_201500000026 |         5 |    0 |    0 |          100 |           5 |
| Lamella_201500000027 |         5 |    0 |    5 |          100 |           5 |
| Lamella_201500000028 |         5 |    0 |   10 |          100 |           5 |
| Lamella_201500000029 |         5 |    5 |   -5 |      70.7051 |           5 |
| Lamella_201500000030 |         5 |    5 |    0 |      70.7051 |           5 |
